;ISIN-код бумаги;Номинал;Доходность;Цена послед.;Дюрация;Лучш. пред;Спрос;Размер купона;Длит. купона;Дата выпл. куп.;НКД;Погашение;До погашения;Оборот;Заявки куп.;Заявки прод.;Общ. предл.;Общ. спрос;Доходность
ХорусФ БО1;RU000A0JUS37;1000;0;0;0;0;0;64.82;182;31.07.2018;27.42;30.07.2019;469;0;0;0;0;0;12.99961538
ХорусФ БО2;RU000A0JUSJ6;1000;0;0;0;0;0;64.82;182;16.08.2018;21.73;15.08.2019;485;0;0;0;0;0;12.99961538
ХорусФин01;RU000A0JUH89;1000;12.08;0;312;0;65;64.82;182;05.09.2018;14.6;06.03.2019;323;0;1;0;0;1;12.99961538
БалтЛизБО1;RU000A0JV8U4;1000;11.5;0;867;0;64.01;32.29;91;18.05.2018;21.29;12.02.2021;1032;0;2;0;0;2;12.95148352
ЕврХолдФ 8;RU000A0JVKK9;1000;9.05;104.5;403;104.47;103.5;64.57;182;27.06.2018;39.38;18.06.2025;2619;7315;10;11;38461;7158;12.94947802
RUS-28;XS0088543193;1000;4.92;0;0;164.9998;155.0001;63.75;180;24.06.2018;2492.4735;24.06.2028;3721;0;2;1;10;6;12.92708333
БелугаБО-5;RU000A0JWFE0;1000;7.96;0;422;106;72;64.32;182;02.05.2018;59.02;29.04.2020;743;0;2;1;20;2;12.89934066
РСХБ 27;RU000A0JW1V6;1000;8.06;0;0;0;116;32.09;91;26.06.2018;7.4;21.12.2021;1344;0;3;0;0;112;12.87126374
РСХБ 28;RU000A0JW1Z7;1000;9.74;0;0;0;110.7;32.09;91;27.06.2018;7.05;22.12.2021;1345;0;5;0;0;68;12.87126374
ЛенОбл2014;RU000A0JV2J0;500;5.61;0;0;0;102.02;16.02;91;12.06.2018;6.16;07.12.2021;1330;0;5;0;0;99;12.85120879
РУСАЛБрБ01;RU000A0JWDN6;1000;13.97;99.4;353;99.01;99.11;64.07;182;16.10.2018;0;07.04.2026;2912;1048040;46;31;65421;2968;12.8492033
КраснодКр5;RU000A0JVZE0;100;6.57;0;216;104.51;103.31;3.19;91;29.05.2018;1.72;27.11.2018;224;0;14;9;652;3685;12.79505495
iРОСНАНО 7;RU000A0JW1G7;1000;6.85;0;1330;0;101.02;63.58;182;22.06.2018;40.52;16.12.2022;1704;0;7;0;0;159;12.75093407
АРАГОН об;RU000A0JXQQ9;1000;13.21;0;0;0;65;31.79;91;09.05.2018;24.1;04.05.2022;1478;0;2;0;0;2;12.75093407
ТелХолПБО1;RU000A0JWMM9;1000;9.14;0;411;104.9;104.01;63.58;182;04.07.2018;36.33;03.07.2019;442;0;8;3;40408;4137;12.75093407
ФПКГарИнP3;RU000A0ZYL55;1000;12.84;0;547;100.25;0;63.58;182;20.06.2018;41.22;16.12.2020;974;0;0;2;17055;0;12.75093407
ПГК 01;RU000A0JVT76;1000;6.59;0;161;103.71;0;63.33;182;25.09.2018;7.31;16.09.2025;2709;0;0;2;9488;0;12.7007967
ПГК 05;RU000A0JVUL6;1000;7.31;0;348;105.15;0;63.33;182;11.10.2018;1.74;02.10.2025;2725;0;0;2;5655;0;12.7007967
КрасЯрКр10;RU000A0JVS10;1000;5.82;0;357;106.49;105.1;31.66;91;12.06.2018;12.18;10.09.2019;511;0;13;10;262;3182;12.69879121
БелгОб2015;RU000A0JVL33;600;7.47;0;401;106.19;105.18;18.92;91;03.07.2018;2.91;30.06.2020;805;0;14;13;45832;288;12.64798535
Хакас2014;RU000A0JUXW9;600;8.06;103.49;264;103.47;103.3;18.92;91;24.04.2018;17.47;27.10.2019;558;96263;20;17;17348;1696;12.64798535
КубнЭн1P02;RU000A0JVYK0;1000;0;0;0;0;0;62.98;182;22.05.2018;50.87;11.11.2025;2765;0;0;0;0;0;12.6306044
ЕврХол1P1R;RU000A0JWBH2;1000;7.35;0;931;113.99;112;62.83;182;25.09.2018;7.25;23.03.2021;1071;0;5;10;115983;1061;12.60052198
РЕСОЛизБ05;RU000A0JWVT5;1000;9.99;0;1074;108.22;80;62.83;182;12.10.2018;1.38;02.10.2026;3090;0;1;1;19;1;12.60052198
Мечел 17об;RU000A0JRJS2;650;0;96.29;547;95.99;95;40.81;182;31.05.2018;31.31;27.05.2021;1136;1879;16;23;3539;7186;12.59142012
Мечел 18об;RU000A0JRJT0;650;0;96.97;547;96;95.04;40.81;182;31.05.2018;31.31;27.05.2021;1136;157192;21;24;25923;7526;12.59142012
Мечел 19об;RU000A0JRJY0;650;0;96.39;551;96.39;94.88;40.81;182;05.06.2018;30.23;01.06.2021;1141;1254;13;30;24918;6009;12.59142012
iРОСНАНО 6;RU000A0JVVA7;1000;5.71;0;1283;126.95;101.54;62.33;182;19.04.2018;61.64;13.10.2022;1640;0;7;1;5000;210;12.50024725
ЕвропланБ1;RU000A0JU6G8;1000;29.17;0;0;0;0;62.33;182;26.09.2018;6.85;25.09.2019;526;0;0;0;0;0;12.50024725
МКБ-лиз 01;RU000A0JWWX5;1000;-7.06;100.5;9;100.5;100.1;62.33;182;26.04.2018;59.25;21.10.2021;1283;65325;5;5;2687;2655;12.50024725
ПКТ 03;RU000A0JWBP5;1000;10.34;106;929;105.98;105.03;62.33;182;26.09.2018;6.85;18.03.2026;2892;541614;23;10;49824;26756;12.50024725
СУЭК-Фин07;RU000A0JVQX9;1000;12.82;0;0;0;64.01;62.33;182;28.08.2018;16.78;19.08.2025;2681;0;3;0;0;8;12.50024725
СУЭК-Фин08;RU000A0JVQY7;1000;12.82;0;0;0;63.03;62.33;182;28.08.2018;16.78;19.08.2025;2681;0;4;0;0;9;12.50024725
СистемБ1P1;RU000A0JVUK8;1000;9.9;101.29;175;101;101.21;62.33;182;09.10.2018;2.4;30.09.2025;2723;293944;34;19;34427;2105;12.50024725
ЧеркизБ1P1;RU000A0JVUJ0;1000;10.9;0;0;0;100;62.33;182;09.10.2018;2.4;06.10.2020;903;0;6;0;0;31;12.50024725
BCS 10/19;XS1434175730;80000;0;0;0;103.95;100;5013.7;183;10.10.2018;191.78;10.10.2019;541;0;7;6;16;8;12.50000342
КонцесВ 04;RU000A0JXP29;1000;11.78;0;0;0;63;125;365;24.04.2018;122.6;07.06.2031;4799;0;1;0;0;1;12.5
ТКК кл. А2;RU000A0ZYBA9;1000;0;0;0;0;0;125;365;09.11.2018;54.45;31.12.2033;5737;0;0;0;0;0;12.5
ДельтКрБО7;RU000A0JVTA1;1000;0;0;0;0;0;63.01;184;30.09.2018;6.16;30.09.2025;2723;0;0;0;0;0;12.4992663
ВЦЗ 1P1R;RU000A0ZYLK7;1000;12.57;0;1309;101.7;101.37;31.16;91;22.06.2018;8.56;10.12.2027;3524;0;10;12;13631;6910;12.49824176
ОткрХОЛ 5;RU000A0JTX09;1000;2469.98;13;203;12.89;12.06;155.77;455;06.11.2018;85.59;25.04.2028;3661;16200;35;267;1319;1141;12.49583516
Якут-07 об;RU000A0JVEH8;650;6.27;0;417;108.7;105.21;20.14;91;17.05.2018;13.5;14.05.2020;758;0;12;3;1803;117;12.42789518
МРСК СЗ Б1;RU000A0JVGC4;1000;0;0;0;0;0;61.93;182;01.06.2018;46.62;23.05.2025;2593;0;0;0;0;0;12.42002747
МРСКЦенБО2;RU000A0JVGD2;1000;0;0;0;0;0;61.93;182;01.06.2018;46.62;23.05.2025;2593;0;0;0;0;0;12.42002747
СамарОбл11;RU000A0JVK00;500;6.92;0;616;109.79;107.71;15.46;91;21.06.2018;4.42;18.06.2020;793;0;11;7;2194;208;12.40197802
ДельтКрБО8;RU000A0JVUY9;1000;7.3;0;0;0;82.01;61.83;182;20.04.2018;60.81;20.10.2025;2743;0;3;0;0;3;12.39997253
ЕвроХим 02;RU000A0JQXQ9;1000;7.05;0;70;100.95;75;61.83;182;26.06.2018;38.05;26.06.2018;70;0;3;8;174364;60;12.39997253
Лента БО-6;RU000A0JVRN8;1000;2.15;0;0;0;0;61.83;182;06.09.2018;13.59;28.08.2025;2690;0;0;0;0;0;12.39997253
ОткрХОЛБО4;RU000A0JUWV3;1000;658.64;0;0;38.4;29.18;185.24;546;11.10.2018;123.66;30.09.2027;3453;0;3;3;6;3;12.38326007
Волгогр 07;RU000A0JUWU5;400;7.38;0;338;104.84;104.14;12.33;91;22.04.2018;11.65;10.10.2019;541;0;11;25;33989;11674;12.36387363
Новсиб 7об;RU000A0JVUD3;600;7.53;0;930;114.5;112.76;18.49;91;27.06.2018;4.06;10.10.2022;1637;0;4;1;25000;5025;12.36053114
ЮнКр 02-ИП;RU000A0JVSW7;1000;6.24;0;155;103;95.01;61.58;182;19.09.2018;9.14;16.09.2020;883;0;4;1;49;17;12.34983516
ОмскОб2014;RU000A0JUX89;400;5.94;0;348;105.15;104.14;12.27;91;17.07.2018;0;15.10.2019;546;0;15;14;5330;7173;12.30370879
СилМашБО-1;RU000A0JVVV3;1000;11.71;100.44;180;99.45;98.61;61.33;182;25.04.2018;58.64;15.10.2025;2738;1004;11;23;112701;458;12.2996978
СилМашБО-2;RU000A0JVVW1;1000;12.88;99.9;179;99.9;99;61.33;182;25.04.2018;58.64;15.10.2025;2738;313756;10;13;94622;227;12.2996978
СберБ об 1;RU000A0JVWL2;1000;0;0;0;0;85.01;60.85;181;02.05.2018;55.8;02.01.2026;2817;0;2;0;0;21;12.27085635
Карелия 17;RU000A0JUWJ8;550;7.79;102;158;101.99;101.95;16.8;91;21.04.2018;16.06;08.04.2020;722;10659;24;23;49810;1265;12.25174825
Мечел 13об;RU000A0JR0K8;700;14.72;98.6;267;99.63;98.62;42.76;182;28.08.2018;11.51;25.02.2020;679;216255;28;23;4612;2679;12.25070644
Мечел 14об;RU000A0JR0J0;700;12.97;99.74;268;98.31;98.84;42.76;182;28.08.2018;11.51;25.02.2020;679;134339;37;37;4139;3183;12.25070644
ЕАБР10;RU000A0JS926;1000;0;0;0;0;0;61.08;182;17.07.2018;30.54;10.01.2023;1729;0;0;0;0;0;12.24956044
КонцесВ 02;RU000A0JWGW0;1000;11.59;0;0;0;63;122.16;364;18.05.2018;111.76;17.03.2031;4717;0;1;0;0;1;12.24956044
МКБ 11обл;RU000A0JTF50;1000;18.1;0;49;99.89;0;61.08;182;05.06.2018;44.64;05.06.2018;49;0;0;2;10000;0;12.24956044
МКБ 12 обл;RU000A0JTPD7;1000;15.91;98.95;127;98.95;98.91;61.08;182;22.08.2018;18.46;22.08.2018;127;1288013;27;53;8529;640;12.24956044
СоллФин 01;RU000A0JXFC2;1000;9.59;103.49;424;103.49;103.01;30.54;91;15.05.2018;21.14;11.02.2020;665;2070;24;12;20120;2465;12.24956044
